category_id,cod_prod,descricao,unid_medida,layer_pallet,ballast,box_by_pallet,height,length,width,weight_gross,weight_liquid,ean_box,ean,factor,cubagem
6,03.200513,L L LIQ YPE LIMAO FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098903916,7896098900222,24,0
6,03.200514,L L LIQ YPE LIMAO FR 24X500ML FR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,97896098900225,7896098900222,24,0
6,03.200515,L L LIQ YPE LIMAO FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098900229,7896098900222,24,0
6,03.200519,L L LIQ YPE LIMAO FR 24X500ML AM,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,67896098901061,,24,0
6,03.2006,L L LIQ YPE MACA FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.13,12.24,47896098900213,7896098900215,24,0
6,03.200601,L L LIQ YPE MACA FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.13,12.24,47896098902217,7896098906217,24,0
6,03.200603,L L LIQ YPE MACA FR 24X500ML BI,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098901820,7896098900215,24,0
6,03.200604,L L LIQ YPE MACA FR 24X500ML ES,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098901837,7896098900215,24,0
6,03.200606,L L LIQ YPE MACA FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,67896098901061,7896098900215,24,0
6,03.200613,L L LIQ YPE MACA FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098903923,7896098900215,24,0
6,03.200614,L L LIQ YPE MACA FR 24X500ML FR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,97896098900218,7896098900215,24,0
6,03.200615,L L LIQ YPE MACA FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098900212,7896098900215,24,0
6,03.2007,L L LIQ YPE CL SOFT FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13,12.24,47896098900268,7896098900260,24,0
6,03.200701,L L LIQ YPE CL SOFT FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.11,12.24,47896098902262,7896098906262,24,0
6,03.200703,L L LIQ YPE CL SOFT FR 24X500ML IN,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901905,7896098900260,24,0
6,03.200704,L L LIQ YPE CL SOFT FR 24X500ML ES,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901912,7896098900260,24,0
6,03.200706,L L LIQ YPE CL SOFT FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13,12.24,67896098901061,,24,0
6,03.200713,L L LIQ YPE CL SOFT FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098903961,7896098900260,24,0
6,03.200714,L L LIQ YPE CL SOFT FR 24X500ML FR,CX,12,7,84,23.2,36.9,24.6,13,12.24,27896098902459,7896098900260,24,0
6,03.200715,L L LIQ YPE CL SOFT FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13,12.24,27896098900264,7896098900260,24,0
